mut	control	eql_notG4	eql_G4	diff_notG4	diff_G4	logOR	chisq	p
HepG2_KHDRBS1	ENCSR279HMU	83005	5650	899	56	-0.127946912916	86755.2918191	0.0
K562_PPIG	ENCSR032YMP	78275	5388	920	60	-0.0778696078848	81714.4813102	0.0
HepG2_DDX5	ENCSR776SXA	83792	5865	791	46	-0.267362431882	87990.8278575	0.0
HepG2_TUFM	ENCSR042QTH	85742	5907	1037	68	-0.0712327850853	89452.3247165	0.0
K562_SF3A3	ENCSR174OYC	79797	5755	1440	80	-0.37647832614	82539.0980158	0.0
HepG2_G3BP1	ENCSR237YZT	85533	6079	1157	67	-0.295508740314	89180.3891167	0.0
K562_SRSF5	ENCSR129RWD	78162	5203	722	50	0.0570529337488	81828.1497687	0.0
K562_CNOT8	ENCSR898NWE	73885	4324	993	61	0.069930502592	76115.2062723	0.0
K562_SF3B1	ENCSR424QCW	72928	4613	1738	91	-0.272722094416	73926.2146812	0.0
K562_AATF	ENCSR815CVQ	79221	5622	628	39	-0.192490976485	83514.2488203	0.0
K562_SMNDC1	ENCSR815CVQ	78684	5600	887	42	-0.587901303109	82436.3140977	0.0
HepG2_FASTKD2	ENCSR003EKR	83631	5599	685	35	-0.389880432274	87795.8294478	0.0
HepG2_NSUN2	ENCSR264TUE	79633	5376	1176	73	-0.121086420146	82529.358128	0.0
K562_TROVE2	ENCSR092WKG	82184	6056	811	38	-0.65321015119	86550.241471	0.0
HepG2_ACO1	ENCSR538QOG	85962	6155	890	60	-0.0869026430325	90226.799427	0.0
K562_SNRNP200	ENCSR164MUK	76005	5247	2244	105	-0.561081808454	76622.3538946	0.0
HepG2_DDX55	ENCSR856ZRV	84640	5811	911	86	0.459438778577	88468.0780634	0.0
HepG2_PPIL4	ENCSR305XWT	81648	5330	834	41	-0.409141460089	85236.8343441	0.0
HepG2_PABPC4	ENCSR237YZT	85061	5998	1141	66	-0.285744568475	88661.0315054	0.0
K562_EWSR1	ENCSR913CAE	76924	5489	764	44	-0.309178669953	80804.9406624	0.0
HepG2_ILF3	ENCSR279HMU	83152	5637	957	62	-0.0654273125725	86762.6960778	0.0
K562_PUS1	ENCSR143COQ	76149	5562	3923	140	-1.03330916178	73790.6267501	0.0
K562_G3BP2	ENCSR344XID	66727	2513	1076	43	0.085590458547	67020.0867114	0.0
HepG2_HNRNPL	ENCSR042QTH	84375	5798	1245	66	-0.374347549058	87570.1219602	0.0
HepG2_CCAR1	ENCSR135LXL	87278	6301	1194	73	-0.239797234874	91062.1801644	0.0
HepG2_TBRG4	ENCSR246RRQ	84890	6016	1213	62	-0.471449381836	88373.9716168	0.0
K562_SRFBP1	ENCSR572FFX	72816	5158	855	39	-0.635006577732	76196.3342275	0.0
HepG2_CPSF7	ENCSR067GHD	84689	6102	781	59	0.0682848205883	89118.7728326	0.0
HepG2_CPSF6	ENCSR264TUE	81337	5614	1242	66	-0.377244527806	84354.7410132	0.0
K562_ILF3	ENCSR667PLJ	73653	5213	626	35	-0.340177305388	77549.5555602	0.0
HepG2_EIF2S1	ENCSR237YZT	83576	6016	1239	68	-0.391285390999	86997.1365815	0.0
HepG2_SART3	ENCSR279HMU	82759	5556	787	72	0.446502884321	86605.4170531	0.0
HepG2_G3BP2	ENCSR237YZT	85810	5989	1001	58	-0.268486516935	89693.2386688	0.0
K562_DNAJC21	ENCSR667PLJ	74020	5298	756	45	-0.265993941073	77724.1035923	0.0
HepG2_TROVE2	ENCSR689PHN	80747	5571	733	36	-0.490343947565	84786.8866142	0.0
HepG2_MSI2	ENCSR067GHD	84326	6031	962	60	-0.197494106584	88324.5715145	0.0
HepG2_PKM	ENCSR689PHN	80903	5639	845	49	-0.265415734257	84763.2514772	0.0
HepG2_AGO1	ENCSR003EKR	83489	5527	641	42	-0.0148455120719	87655.2405393	0.0
HepG2_AUH	ENCSR997HCQ	89233	6480	880	51	-0.325422745864	93860.0797926	0.0
K562_IGF2BP1	ENCSR163JUC	82216	5931	483	27	-0.36791997044	87129.9604269	0.0
K562_TARDBP	ENCSR372DZW	82595	5670	538	37	0.00262481158535	87118.745823	0.0
K562_HNRNPM	ENCSR032YMP	73212	4777	1177	76	-0.0150677370073	75503.1312846	0.0
HepG2_HNRNPA2B1	ENCSR042QTH	85108	5704	759	38	-0.420779699824	89225.0219788	0.0
K562_PKM	ENCSR438MDN	80737	5856	739	49	-0.129478188159	85024.1742042	0.0
K562_DKC1	ENCSR143COQ	81374	5874	991	45	-0.668735412434	85188.4134716	0.0
HepG2_ETF1	ENCSR997HCQ	89706	6504	1069	74	-0.0667874513594	93937.5809018	0.0
HepG2_ILF2	ENCSR305XWT	83023	5374	879	45	-0.338423421236	86558.6831631	0.0
K562_EEF2	ENCSR661HEL	76503	5084	789	58	0.145579892631	79901.798894	0.0
K562_RPS3A	ENCSR419JMU	77646	5228	1052	62	-0.192142120292	80660.988472	0.0
K562_SUB1	ENCSR815CVQ	79072	5643	591	34	-0.310918817843	83469.6221082	0.0
K562_XPO5	ENCSR164MUK	78086	5361	1341	67	-0.458514460182	80654.8668369	0.0
K562_G3BP1	ENCSR129RWD	77498	5046	750	34	-0.522336976493	80983.4873442	0.0
K562_SAFB2	ENCSR154OBA	79276	5644	699	40	-0.315126272709	83448.4467772	0.0
HepG2_MARK2	ENCSR674KEK	83544	5588	715	38	-0.331739624187	87632.3776415	0.0
K562_SSRP1	ENCSR032YMP	79263	5357	933	54	-0.223695397415	82657.5266213	0.0
HepG2_HNRNPK	ENCSR237YZT	84075	5945	1916	114	-0.249063672903	86005.8501005	0.0
K562_KIF1C	ENCSR143COQ	81075	5926	1880	74	-0.892936993667	83137.5182663	0.0
K562_KRR1	ENCSR424QCW	72341	4492	1144	57	-0.317597614354	74449.8144928	0.0
K562_EIF3H	ENCSR226KWO	80337	5501	922	43	-0.554059405553	83918.9175962	0.0
HepG2_SF3A3	ENCSR691IVR	83395	5911	2728	135	-0.518325569106	83672.3210067	0.0
